code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
000509,57120XC01A9P,წინა კრილო (LH),Subaru,Ascent,Ascent 19-,TYG,44,340.0,GEL
000510,57120XC00A9P,წინა კრილო (RH),Subaru,Ascent,Ascent 19-,TYG,58,340.0,GEL
000511,57229XC00A9P,კაპოტი (ალუმინი),Subaru,Ascent,Ascent 19-,TYG,0,1250.0,GEL
000512,57229XC00A9PPFM,კაპოტი,Subaru,Ascent,Ascent 19-,TYG,36,900.0,GEL
000513,45122XC00A,ვინტილიატორის ზბორი,Subaru,Ascent,Ascent 19-,TYG,0,550.0,GEL
000514,57707SG000,წინა ფარის სალასკა (RH),Subaru,Forester,Forester 12-18,Subaru,0,,GEL
000515,60009FL0409P,წინა კარები (RH),Subaru,Crosstrek,Crosstrek 18-,Subaru,0,1550.0,GEL
000516,57707SG010,წინა ფარის სალასკა (LH),Subaru,Forester,Forester 12-18,Subaru,0,,GEL
000517,60409FL0209P,უკანა კარები (RH),Subaru,Crosstrek,Crosstrek 18-,Subaru,0,,GEL
000520,57707FJ150,წინა კრილოს სალასკა (LH),Subaru,XV,XV 12-17,TYG,118,10.0,GEL
000521,57707FJ140,წინა კრილოს სალასკა (RH),Subaru,XV,XV 12-17,TYG,83,10.0,GEL
000522,57707FJ011,წინა ფარის სალასკა (LH),Subaru,XV,XV 12-17,TYG,69,30.0,GEL
000523,57707FJ001,წინა ფარის სალასკა (RH),Subaru,XV,XV 12-17,TYG,175,30.0,GEL
000524,57707SG010,წინა ფარის სალასკა (LH),Subaru,Forester,Forester 12-18,TYG,112,28.0,GEL
000525,57707SG000,წინა ფარის სალასკა (RH),Subaru,Forester,Forester 12-18,TYG,120,25.0,GEL
000526,57707FL010,წინა ფარის სალასკა (LH),Subaru,Crosstrek,Crosstrek 18-,TYG,191,30.0,GEL
000527,57707FL000,წინა ფარის სალასკა (RH),Subaru,Crosstrek,Crosstrek 18-,TYG,191,30.0,GEL
000528,57707AL41A,წინა ფარის სალასკა (LH),Subaru,Outback,Outback 18-19,TYG,112,35.0,GEL
000529,57707AL40A,წინა ფარის სალასკა (RH),Subaru,Outback,Outback 18-19,TYG,119,35.0,GEL
000530,57731FL870,სანისლე ბუდე (LH),Subaru,Crosstrek,Crosstrek 21-,TYG,200,45.0,GEL
000531,57731FL860,სანისლე ბუდე (RH),Subaru,Crosstrek,Crosstrek 21-,TYG,196,45.0,GEL
000532,57120FJ0509P,წინა კრილო (RH),Subaru,XV,XV 12-17,TYG,23,80.0,GEL
000533,57120FL0609P,წინა კრილო (RH),Subaru,Crosstrek,Crosstrek 18-,TYG,58,120.0,GEL
000534,57120FL0709P,წინა კრილო (LH),Subaru,Crosstrek,Crosstrek 18-,TYG,74,120.0,GEL
000536,57229AL00C9P,კაპოტი (ალუმინი),Subaru,Outback,Outback 15-19,TYG,0,620.0,GEL
000537,57704FJ041,უკანა ბამპერი,Subaru,XV,XV 12-17,TYG,0,200.0,GEL
000538,91121AL17B,ცხაურა სტანდარტული,Subaru,Outback,Outback 18-19,TYG,0,200.0,GEL
000539,91121AN06A,ცხაურა (ქრომი),Subaru,Outback,Outback 20-,TYG,8,260.0,GEL
000540,91121AN08A,ცხაურა (შავი),Subaru,Outback,Outback 20-,TYG,0,270.0,GEL
000541,53420-0R070,კაპოტის პეტლი (LH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000542,53410-0R070,კაპოტის პეტლი (RH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000543,5C6823301,კაპოტის პეტლი (LH),Volkswagen,Jetta,VW Jetta 11-18,TYG,0,20.0,GEL
000544,5C6823302,კაპოტის პეტლი (RH),Volkswagen,Jetta,VW Jetta 11-18,TYG,0,20.0,GEL
000545,561823301C,კაპოტის პეტლი (LH),Volkswagen,Passat,VW Passat 16-19,TYG,0,60.0,GEL
000546,561823302C,კაპოტის პეტლი (RH),Volkswagen,Passat,VW Passat 16-19,TYG,0,60.0,GEL
000547,5NG823301B,კაპოტის პეტლი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,19,35.0,GEL
000548,5NN823302,კაპოტის პეტლი (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,19,35.0,GEL
000549,17A823301,კაპოტის პეტლი (LH),Volkswagen,Jetta,VW Jetta 19-,TYG,0,30.0,GEL
000550,17A823302,კაპოტის პეტლი (RH),Volkswagen,Jetta,VW Jetta 19-,TYG,0,30.0,GEL
000551,53205-0R050,ეკრანი,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000552,17A805567,ეკრანის ყური,Volkswagen,Jetta,VW Jetta 19-,TYG,0,35.0,GEL
000553,561805931C,ეკრანის ზედა ნაწილი LH,Volkswagen,Passat,VW Passat 16-19,TYG,0,20.0,GEL
000554,561805932C,ეკრანის ზედა ნაწილი RH,Volkswagen,Passat,VW Passat 16-19,TYG,0,20.0,GEL
000555,5NA805931A,ეკრანის გვერდითა ნაწილი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,8,13.0,GEL
000556,5NA805932A,ეკრანის გვერდითა ნაწილი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,8,13.0,GEL
000557,5271142110B0,წინა ბამპერის ქვედა ტუჩი,Toyota_Old,Toyota_Old,TY Rav4 13-18,TYG,0,,GEL
000558,75602-0R060,კრილოს მოლდინგი (LH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000559,75601-0R060,კრილოს მოლდინგი (RH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000560,5NN854731A9B9,წინა კრილოს მოლდინგი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,19,45.0,GEL
000561,5NN854732A9B9,წინა კრილოს მოლდინგი (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,20,45.0,GEL
000562,5NN854819A9B9,უკანა კრილოს მოლდინგი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,7,85.0,GEL
000563,5NN854820A9B9,უკანა კრილოს მოლდინგი (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,9,85.0,GEL
000564,8531578030,წყლის ავზი,Toyota_Old,Toyota_Old,TY Rav4 Hyb 13-17,TYG,0,,GEL
000565,87940-0R220-C0,საარკე (LH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000566,87910-0R210-C0,საარკე (RH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000567,87940-0R190-C0,საარკე (LH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000568,87910-0R180-C0,საარკე (RH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000569,87940-0R210,საარკე (LH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000570,87910-0R200,საარკე (RH),Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000571,5380142170,კრილო (RH),Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
000572,17A821106A,კრილო (RH),Volkswagen,Jetta,VW Jetta 19-,TYG,5,75.0,GEL
000573,538110R130(42330)P,კრილო (RH),Toyota_Old,Toyota_Old,TY Rav4 19-,TYG,0,,GEL
000574,5C6821106A,კრილო (RH),Volkswagen,Jetta,VW Jetta 11-18,TYG,48,65.0,GEL
000575,561821022A,კრილო (RH),Volkswagen,Passat,VW Passat 16-19,TYG,1,75.0,GEL
000576,5NA821106,კრილო (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,2,60.0,GEL
000577,561821022B,კრილო (RH),Volkswagen,Passat,VW Passat 20-,TYG,18,280.0,GEL
000578,5NA821106E,კრილო (RH),Volkswagen,Tiguan,VW Tiguan 22-,TYG,20,170.0,GEL
000579,5380242200,კრილო (LH),Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
000580,17A821105A,კრილო (LH),Volkswagen,Jetta,VW Jetta 19-,TYG,47,75.0,GEL
000581,538120R110(42360)P,კრილო (LH),Toyota_Old,Toyota_Old,TY Rav4 19-,TYG,0,,GEL
000582,5C6821105A,კრილო (LH),Volkswagen,Jetta,VW Jetta 11-18,TYG,24,65.0,GEL
000583,561821021A,კრილო (LH),Volkswagen,Passat,VW Passat 16-19,TYG,0,75.0,GEL
000584,5NA821105,კრილო (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,0,60.0,GEL
000585,561821021B,კრილო (LH),Volkswagen,Passat,VW Passat 20-,TYG,20,280.0,GEL
000586,5NA821105F,კრილო (LH),Volkswagen,Tiguan,VW Tiguan 22-,TYG,20,170.0,GEL
000587,533010R080(42150)P,კაპოტი,Toyota_Old,Toyota_Old,TY Rav4 19-,TYG,0,,GEL
000588,5C6823031E,კაპოტი,Volkswagen,Jetta,VW Jetta 11-18,TYG,33,240.0,GEL
000589,561823031F,კაპოტი,Volkswagen,Passat,VW Passat 16-19,TYG,0,250.0,GEL
000590,5N0823031D,კაპოტი,Volkswagen,Tiguan,VW Tiguan 16-,TYG,9,205.0,GEL
000591,17A823031,კაპოტი,Volkswagen,Jetta,VW Jetta 19-,TYG,13,270.0,GEL
000592,561823031G,კაპოტი,Volkswagen,Passat,VW Passat 20-,TYG,24,700.0,GEL
000593,52169-0R010,წინა ბამპერის ქვედა ბადე,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000594,5C6807217AGGRU,წინა ბამპერი,Volkswagen,Jetta,VW Jetta 15-18,TYG,0,130.0,GEL
000595,52119-0R915,წინა ბამპერი,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000596,52119-4A908,წინა ბამპერი,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000597,52159-42930,უკანა ბამპერი,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000598,52119-0R914,წინა ბამპერი,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000599,53113-0R060,წინა ბამპერის ქვედა ბადე,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000600,5311242100,ზედა ცხაურა,Toyota_Old,Toyota_Old,TY Rav4 16-18,TYG,0,,GEL
000602,20202AL010,წინა გიტარა (LH),Subaru,Outback,Outback 15-19,AJSparts,32,170.0,GEL
000603,20202AL000,წინა გიტარა (RH),Subaru,Outback,Outback 15-19,AJSparts,27,170.0,GEL
000604,20202 FJ050,წინა გიტარა (LH),Subaru,XV,XV 12-17,AJSparts,6,140.0,GEL
000605,20202 FJ040,წინა გიტარა (RH),Subaru,XV,XV 12-17,AJSparts,9,140.0,GEL
000606,91121FL511,"ცხაურა - Usa Type,2.5I Limited",Subaru,Crosstrek,Crosstrek 21-,Suo Lun,0,145.0,GEL
000607,57731SJ160,სანისლე ბუდე ხრომი (RH),Subaru,Forester,Forester 19-,Suo Lun,58,60.0,GEL
000608,57731SJ170,სანისლე ბუდე ხრომი (LH),Subaru,Forester,Forester 19-,Suo Lun,57,60.0,GEL
000609,57731FJ000,სანისლე ბუდე (RH),Subaru,Impreza,Impreza 12-16,Subaru,0,,GEL
000610,5NN823031B,კაპოტი,Volkswagen,Tiguan,VW Tiguan 18-,TYG,9,420.0,GEL
000611,51231AL00A9P,ეკრანის ქვედა ძირი,Subaru,Outback,Outback 15-19,TYG,51,30.0,GEL
000612,53029AN07A9P,ეკრანის ქვედა ძირი,Subaru,Outback,Outback 20-,TYG,108,100.0,GEL
000613,51231AN00A9P,ეკრანი ქვედა,Subaru,Outback,Outback 20-,TYG,71,80.0,GEL
000614,57731FL29A,სანისლე ბუდე Sport (LH),Subaru,Impreza,Impreza 17-19,TYG,31,60.0,GEL
000615,57731FL28A,სანისლე ბუდე Sport (RH),Subaru,Impreza,Impreza 17-19,TYG,27,60.0,GEL
000616,57731SJ610,სანისლე ბუდე (LH),Subaru,Forester,Forester 22-,TYG,50,90.0,GEL
000617,57731SJ600,სანისლე ბუდე (RH),Subaru,Forester,Forester 22-,TYG,54,90.0,GEL
000618,53029AN04A9P,ეკრანი შუა,Subaru,Outback,Outback 20-,TYG,42,80.0,GEL
000619,53029AN06A9P,ეკრანის გვერდი ყურით (LH),Subaru,Outback,Outback 20-,TYG,35,80.0,GEL
000620,53029AN05A9P,ეკრანის გვერდი ყურით (RH),Subaru,Outback,Outback 20-,TYG,57,80.0,GEL
000621,53029AN01A9P,ეკრანი ზედა,Subaru,Outback,Outback 20-,TYG,53,110.0,GEL
000622,53029AN03A9P,ეკრანის ყური (LH),Subaru,Outback,Outback 20-,TYG,0,80.0,GEL
000623,53029AN02A9P,ეკრანის ყური (RH),Subaru,Outback,Outback 20-,TYG,0,80.0,GEL
