row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
3379,no,003507,814810A110,სანისლე ბუდე XLE (RH),Toyota,Corolla Cross,CORLA CROS '22-,TYG,0,,GEL
3380,no,003508,814820A110,სანისლე ბუდე XLE (LH),Toyota,Corolla Cross,CORLA CROS '22-,TYG,0,,GEL
3381,no,003509,52145-0E100,წინა კრილოს სალასკა (RH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,0,,GEL
3382,no,003511,60120TXMA00ZZ,კაპოტის პეტლი (RH),Honda,Insight,INSIGH '19-,TYG,0,,GEL
3383,no,003512,60170TXMA00ZZ,კაპოტის პეტლი (LH),Honda,Insight,INSIGH '19-,TYG,0,,GEL
3384,no,003513,7125130AA00,წინა ბამპერის სამაგრი რკინა,Honda,Accord,ACOD '23-,TYG,0,,GEL
3385,no,003514,7113030AA00,წინა ბალკა - OEM ალუმინი,Honda,Accord,ACOD '23-,TYG,0,,GEL
3386,no,003515,7115230AK00,წინა ბამპერის ქვედა სპოილერი,Honda,Accord,ACOD '23-,TYG,0,,GEL
3387,no,003516,0471530AA10ZZ,უკანა ბამპერი პარკინგით,Honda,Accord,ACOD '23-,TYG,0,,GEL
3388,no,003517,0471530AA00ZZ,უკანა ბამპერი უპარკინგო,Honda,Accord,ACOD '23-,TYG,0,,GEL
3389,no,003518,7111030AA00ZF,წინა ბამპერის ზედა მოლდინგი,Honda,Accord,ACOD '23-,TYG,0,,GEL
3390,no,003519,57260SL0009P,კაპოტის პეტლი (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3391,no,003520,57260SL0109P,კაპოტის პეტლი (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3392,no,003521,57707SL500,უკანა კრილოს სალასკა (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3393,no,003522,57707SL510,უკანა კრილოს სალასკა (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3394,no,003523,57707SL520,უკანა სტოპის სალასკა (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3395,no,003524,57707SL530,უკანა სტოპის სალასკა (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3396,no,003525,57707SL000,წინა ფარის სალასკა (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3397,no,003526,57707SL010,წინა ფარის სალასკა (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3398,no,003527,57707SL020,წინა კრილოს სალასკა (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3399,no,003528,57707SL030,წინა კრილოს სალასკა (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3400,no,003529,53029SL0109P,ეკრანის ყური (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3401,no,003530,53029SL0209P,ეკრანის ყური (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3402,no,003531,53029SL0009P,ზედა ეკრანი,Subaru,Forester,Forester 25-,TYG,0,,GEL
3403,no,003532,53029SL0309P,ეკრანის გვერდი (RH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3404,no,003533,53029SL0409P,ეკრანის გვერდი (LH),Subaru,Forester,Forester 25-,TYG,0,,GEL
3405,no,003534,91165SL000,ცხაურის სამაგრი პლასმასი,Subaru,Forester,Forester 25-,TYG,0,,GEL
3406,no,003535,5342006390,კაპოტის პეტლი (LH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,0,,GEL
3407,no,003536,5341006390,კაპოტის პეტლი (RH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,0,,GEL
3408,no,003537,520400R020,სანისლე ბუდე შავი (LH),Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
3409,no,003538,520300R020,სანისლე ბუდე შავი (RH),Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
3410,no,003539,520400R030,სანისლე ბუდე ქრომი (LH),Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
3411,no,003540,520300R030,სანისლე ბუდე ქრომი (RH),Toyota,RAV4,RAV-4 '13-'18,TYG,0,,GEL
