row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
316,no,000560,5NN854731A9B9,წინა კრილოს მოლდინგი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,19,45.0,GEL
317,no,000561,5NN854732A9B9,წინა კრილოს მოლდინგი (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,20,45.0,GEL
318,no,000562,5NN854819A9B9,უკანა კრილოს მოლდინგი (LH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,7,85.0,GEL
319,no,000563,5NN854820A9B9,უკანა კრილოს მოლდინგი (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,9,85.0,GEL
320,no,000572,17A821106A,კრილო (RH),Volkswagen,Jetta,VW Jetta 19-,TYG,5,75.0,GEL
321,no,000574,5C6821106A,კრილო (RH),Volkswagen,Jetta,VW Jetta 11-18,TYG,48,65.0,GEL
322,no,000575,561821022A,კრილო (RH),Volkswagen,Passat,VW Passat 16-19,TYG,1,75.0,GEL
323,no,000576,5NA821106,კრილო (RH),Volkswagen,Tiguan,VW Tiguan 18-,TYG,2,60.0,GEL
324,no,000577,561821022B,კრილო (RH),Volkswagen,Passat,VW Passat 20-,TYG,18,280.0,GEL
325,no,000578,5NA821106E,კრილო (RH),Volkswagen,Tiguan,VW Tiguan 22-,TYG,20,170.0,GEL
326,no,000580,17A821105A,კრილო (LH),Volkswagen,Jetta,VW Jetta 19-,TYG,47,75.0,GEL
327,no,000582,5C6821105A,კრილო (LH),Volkswagen,Jetta,VW Jetta 11-18,TYG,24,65.0,GEL
328,no,000585,561821021B,კრილო (LH),Volkswagen,Passat,VW Passat 20-,TYG,20,280.0,GEL
329,no,000586,5NA821105F,კრილო (LH),Volkswagen,Tiguan,VW Tiguan 22-,TYG,20,170.0,GEL
330,no,000588,5C6823031E,კაპოტი,Volkswagen,Jetta,VW Jetta 11-18,TYG,33,240.0,GEL
331,no,000590,5N0823031D,კაპოტი,Volkswagen,Tiguan,VW Tiguan 16-,TYG,9,205.0,GEL
332,no,000591,17A823031,კაპოტი,Volkswagen,Jetta,VW Jetta 19-,TYG,13,270.0,GEL
333,no,000592,561823031G,კაპოტი,Volkswagen,Passat,VW Passat 20-,TYG,24,700.0,GEL
334,no,000602,20202AL010,წინა გიტარა (LH),Subaru,Outback,Outback 15-19,AJSparts,32,170.0,GEL
335,no,000603,20202AL000,წინა გიტარა (RH),Subaru,Outback,Outback 15-19,AJSparts,27,170.0,GEL
336,no,000604,20202 FJ050,წინა გიტარა (LH),Subaru,XV,XV 12-17,AJSparts,6,140.0,GEL
337,no,000605,20202 FJ040,წინა გიტარა (RH),Subaru,XV,XV 12-17,AJSparts,9,140.0,GEL
338,no,000607,57731SJ160,სანისლე ბუდე ხრომი (RH),Subaru,Forester,Forester 19-,Suo Lun,58,60.0,GEL
339,no,000608,57731SJ170,სანისლე ბუდე ხრომი (LH),Subaru,Forester,Forester 19-,Suo Lun,57,60.0,GEL
340,no,000610,5NN823031B,კაპოტი,Volkswagen,Tiguan,VW Tiguan 18-,TYG,9,420.0,GEL
341,no,000611,51231AL00A9P,ეკრანის ქვედა ძირი,Subaru,Outback,Outback 15-19,TYG,50,30.0,GEL
342,no,000612,53029AN07A9P,ეკრანის ქვედა ძირი,Subaru,Outback,Outback 20-,TYG,106,100.0,GEL
343,no,000613,51231AN00A9P,ეკრანი ქვედა,Subaru,Outback,Outback 20-,TYG,71,80.0,GEL
344,no,000614,57731FL29A,სანისლე ბუდე Sport (LH),Subaru,Impreza,Impreza 17-19,TYG,31,60.0,GEL
345,no,000615,57731FL28A,სანისლე ბუდე Sport (RH),Subaru,Impreza,Impreza 17-19,TYG,27,60.0,GEL
346,no,000616,57731SJ610,სანისლე ბუდე (LH),Subaru,Forester,Forester 22-,TYG,50,90.0,GEL
347,no,000617,57731SJ600,სანისლე ბუდე (RH),Subaru,Forester,Forester 22-,TYG,54,90.0,GEL
348,no,000618,53029AN04A9P,ეკრანი შუა,Subaru,Outback,Outback 20-,TYG,42,80.0,GEL
349,no,000619,53029AN06A9P,ეკრანის გვერდი ყურით (LH),Subaru,Outback,Outback 20-,TYG,35,80.0,GEL
350,no,000620,53029AN05A9P,ეკრანის გვერდი ყურით (RH),Subaru,Outback,Outback 20-,TYG,56,80.0,GEL
351,no,000621,53029AN01A9P,ეკრანი ზედა,Subaru,Outback,Outback 20-,TYG,53,110.0,GEL
352,no,000624,57731-FL082,სანისლე ბუდე (RH),Subaru,Crosstrek,Crosstrek 18-,TYG,133,40.0,GEL
353,no,000625,59110FL01APFM,პადკრილნიკი (LH),Subaru,Impreza,Impreza 17-19,TYG,8,40.0,GEL
354,no,000626,59110FL00APFM,პადკრილნიკი (RH),Subaru,Impreza,Impreza 17-19,TYG,17,40.0,GEL
355,no,000627,56410FL00A,ძრავის დამცავი,Subaru,Crosstrek,Crosstrek 18-,TYG,78,50.0,GEL
356,no,000628,56410SJ010,ძრავის დამცავი,Subaru,Forester,Forester 19-,TYG,56,120.0,GEL
357,no,000629,91036SG922PFM,სარკე BSD უპავაროდნიკო (LH),Subaru,Forester,Forester 12-18,TYG,8,260.0,GEL
358,no,000630,91036SG932PFM,სარკე BSD უპავაროდნიკო (RH),Subaru,Forester,Forester 12-18,TYG,19,260.0,GEL
359,no,000631,91036AL80APFM,სარკე პრასტოი (LH),Subaru,Outback,Outback 18-19,TYG,3,250.0,GEL
